"Gene","PBX1"
"APOA4",-0.1595
"APOA4",-0.3159
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.6706
"APOBEC3A_B",0
"APOBEC3B",-0.0079
"APOBEC3C",0.0995
"APOBEC3D",0
"APOBEC3F",0.2591
"APOBEC3G",0.5812
"APOBEC3H",0
"APOBEC4",0
"APOC1",1.379
"APOC1",1.0679
"APOC3",-0.2924
"APOC4",0.0564
"APOD",0
"APOE",-2.4947
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.0319
"APOL6",-0.1413
"APOL6",1.0818
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",-0.1642
"APPBP2",-0.1516
"APPBP2",-0.2262
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",-0.1145
"AQP2",-0.8384
"AQP2",-0.4112
"AQP3",0.1846
"AQP3",0.4043
"AQP4",0
"AQP5",0
"AQP6",0.3716
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",0.5018
"AQR",0
"AR",0.2657
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",-0.033
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.0261
"ARF5",0
"ARF6",2.3418
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-1.7671
"ARFGEF2",-0.532
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
